"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",0,0,0,0,1,1,1,1,1,1,1,1
"2",0,1,1,1,1,0,0,1,1,0,0,1
"3",1,1,0,1,1,1,1,0,0,1,1,1
"4",1,1,1,1,1,1,1,1,1,1,1,0
"5",1,1,1,1,0,1,0,0,1,0,0,1
"6",1,0,1,1,1,1,1,1,0,1,0,1
"7",0,0,0,0,1,1,0,1,0,0,1,1
"8",0,0,1,1,0,1,0,0,1,0,0,0
"9",1,1,1,1,1,0,0,0,1,1,0,0
"10",1,0,1,0,1,1,1,0,1,1,0,1
"11",0,0,0,0,0,1,0,0,1,0,0,0
"12",1,1,1,1,1,1,1,1,1,0,1,0
"13",1,0,0,0,0,1,1,1,1,1,0,1
"14",0,1,1,0,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,0,1,0,0,1,0,1
