"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,0,0,1,1,1,1,1,1,1
"2",1,1,1,1,1,1,0,1,0,1,1,0
"3",0,0,0,0,0,0,0,1,1,1,0,0
"4",0,1,0,1,0,0,1,1,0,1,0,0
"5",0,0,0,1,1,1,0,1,0,1,0,1
"6",1,1,1,1,1,1,1,1,1,1,1,0
"7",0,0,0,1,1,0,1,0,0,1,0,0
"8",1,0,1,0,1,1,1,1,1,0,1,1
"9",0,0,1,1,1,1,1,0,1,0,0,1
"10",1,1,0,1,1,1,1,0,0,0,0,0
"11",0,1,1,1,1,1,0,1,0,0,0,1
"12",1,0,1,1,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,0,1,1,0,1,1,0
"14",1,1,1,1,1,0,0,1,0,0,0,1
"15",1,1,1,1,0,0,0,1,0,0,1,0
