"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,1,1,0,0,1,1,1,1
"2",0,0,0,0,0,1,1,1,1,1,0,1
"3",0,1,0,1,0,1,0,1,1,0,0,0
"4",0,1,1,1,1,1,1,1,0,0,1,1
"5",1,1,1,1,1,1,1,1,0,0,0,1
"6",0,0,1,1,0,0,0,0,1,0,0,1
"7",0,1,1,1,0,0,1,1,1,1,0,1
"8",0,1,0,1,1,0,0,0,1,1,1,1
"9",1,0,0,1,0,1,1,1,0,1,0,1
"10",1,1,1,1,1,1,0,0,1,1,1,1
"11",0,1,0,1,1,0,1,1,0,1,1,0
"12",0,0,1,0,1,1,1,1,0,0,1,1
"13",0,1,1,0,1,0,1,1,0,1,1,0
"14",1,1,1,1,0,1,0,0,1,1,1,1
"15",1,1,1,1,1,0,1,1,0,0,1,1
