"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,0,1,1,0,1,0,1,1,1
"2",1,0,0,0,1,0,1,1,1,0,1,1
"3",0,1,0,1,1,1,0,1,1,1,0,1
"4",1,1,1,1,1,1,0,1,0,1,0,0
"5",1,1,1,0,0,1,1,0,1,0,1,1
"6",1,0,1,1,0,1,1,1,0,0,0,0
"7",1,0,0,1,1,1,0,0,0,0,0,1
"8",1,1,1,0,1,1,1,1,1,1,1,1
"9",1,1,1,0,0,1,1,0,0,1,1,1
"10",1,1,0,1,1,0,0,1,1,1,0,0
"11",1,0,0,1,1,0,1,1,0,0,1,0
"12",1,1,0,0,1,1,0,1,0,0,1,0
"13",1,1,0,1,1,0,1,1,1,1,1,1
"14",1,1,1,1,1,0,0,1,1,1,0,1
"15",0,1,0,1,0,1,0,1,1,1,0,0
