"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,0,1,1,1,1,1,1,1,0,1,1
"2",1,1,1,1,0,1,0,1,0,1,1,0
"3",1,1,0,1,0,1,1,1,1,1,1,0
"4",0,1,0,0,0,1,1,1,1,0,0,0
"5",0,1,1,1,1,0,1,0,0,1,0,0
"6",1,0,1,1,0,1,1,1,1,0,0,1
"7",0,1,0,0,1,1,1,0,0,1,0,0
"8",0,1,0,0,1,0,1,0,0,1,0,1
"9",1,1,1,1,0,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1,1,1
"11",1,1,0,0,0,1,0,1,1,1,1,1
"12",0,0,1,0,1,1,1,0,0,0,1,0
"13",1,1,0,1,1,0,1,1,1,1,0,0
"14",0,0,1,1,1,0,0,1,1,1,1,1
"15",1,1,1,0,1,0,1,1,1,0,1,0
