"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",0,1,1,0,1,0,1,1,0,0,0,1
"2",0,1,1,1,1,0,1,1,1,1,1,1
"3",1,0,0,1,0,0,0,0,0,0,1,0
"4",1,0,1,1,0,1,1,1,1,1,1,1
"5",0,1,1,0,1,1,0,1,1,1,1,0
"6",1,1,0,0,0,1,1,1,0,0,0,0
"7",0,0,1,0,0,0,1,1,1,0,1,1
"8",0,1,0,0,1,0,0,0,1,1,1,0
"9",1,1,1,1,0,1,0,0,0,0,1,0
"10",0,0,0,1,1,1,1,0,0,0,0,1
"11",1,1,0,0,1,1,0,0,1,1,1,0
"12",1,0,1,1,1,1,1,1,1,0,1,1
"13",1,0,1,1,1,1,1,0,1,1,1,1
"14",1,1,1,1,0,0,1,1,0,0,1,1
"15",0,1,1,1,0,1,0,0,0,0,1,1
