"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",0,1,1,0,1,1,1,1,1,1,1,1
"2",0,1,0,1,0,0,0,1,1,1,1,0
"3",0,0,0,1,0,0,0,0,0,0,0,0
"4",1,1,1,1,0,0,0,1,0,1,1,1
"5",0,1,1,1,1,1,0,1,1,0,1,0
"6",0,1,1,0,1,1,1,0,1,0,1,1
"7",1,1,1,1,0,1,1,1,1,1,1,1
"8",1,0,0,0,0,0,1,1,0,0,1,0
"9",1,1,1,1,1,1,0,1,1,1,1,1
"10",1,1,1,1,1,1,0,1,0,0,1,1
"11",0,0,0,0,0,1,1,0,1,1,0,1
"12",1,0,1,1,0,0,0,0,0,1,1,0
"13",1,1,1,1,1,1,0,1,1,0,1,1
"14",0,1,1,0,0,0,1,0,1,1,0,1
"15",0,1,0,0,1,1,0,1,0,0,1,1
