"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,0,0,0,1,1,0,1,1
"2",1,1,0,0,0,0,0,0,0,1,0,0
"3",1,1,1,0,1,1,0,1,1,1,1,1
"4",1,1,1,1,1,0,1,1,0,0,0,0
"5",1,1,1,1,1,1,1,1,0,1,1,0
"6",1,1,0,1,1,1,1,0,1,1,1,0
"7",1,0,1,1,1,0,1,0,1,0,0,0
"8",0,1,0,0,1,1,1,0,1,1,1,1
"9",1,0,0,1,1,0,0,1,0,1,1,0
"10",1,1,1,1,1,1,1,1,0,1,0,1
"11",1,0,0,1,1,1,1,1,1,0,1,1
"12",0,1,1,0,1,0,1,1,1,0,1,1
"13",1,0,1,1,1,1,1,0,1,1,1,0
"14",1,0,0,1,0,1,0,1,1,1,1,1
"15",0,1,1,0,1,0,0,1,0,1,0,1
