"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,1,1,1,1,0,1,1,1,0,0
"2",0,1,1,0,0,0,0,1,1,0,1,1
"3",1,1,1,1,0,1,1,1,1,1,0,0
"4",1,1,0,0,1,1,0,0,0,0,0,1
"5",1,0,1,1,0,0,0,1,0,1,1,1
"6",1,1,1,0,1,1,1,0,1,1,1,1
"7",1,0,0,0,0,1,0,1,1,1,0,0
"8",0,0,0,0,0,1,1,1,0,1,1,1
"9",0,1,1,1,1,0,1,1,1,1,1,1
"10",0,1,1,1,1,0,1,1,0,1,0,1
"11",0,0,0,1,0,0,0,0,1,0,0,0
"12",1,1,0,0,0,0,1,1,1,0,1,1
"13",0,0,0,0,0,1,1,1,0,1,1,0
"14",1,1,0,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,0,1,1,0,0,1
