"","sp01","sp02","sp03","sp04","sp05","sp06","sp07","sp08","sp09","sp10","sp11","sp12"
"1",1,1,0,1,1,1,1,0,1,0,0,0
"2",1,1,1,1,1,1,1,1,1,1,1,1
"3",1,0,1,0,0,1,0,1,0,0,1,1
"4",0,1,0,0,0,1,1,0,1,0,0,1
"5",1,1,1,1,1,0,1,0,1,0,1,1
"6",0,0,1,0,0,0,0,1,1,0,1,0
"7",1,1,0,1,1,1,1,0,1,1,1,1
"8",1,1,0,1,1,0,1,0,0,0,0,0
"9",0,1,0,0,1,0,0,1,0,1,0,0
"10",1,1,1,0,1,1,1,0,1,1,1,0
"11",1,1,0,0,0,1,0,0,1,0,1,1
"12",0,0,0,0,0,1,1,1,1,1,1,0
"13",0,1,1,0,1,1,0,1,0,1,1,1
"14",1,1,1,1,1,1,1,1,1,0,1,1
"15",0,1,0,1,1,1,0,1,1,1,0,0
